Country Name,,2017,2018,2019,2020,2021,2022
United Arab Emirates,,9068296,9140169,9211657,9287289,9365145,9441129
Argentina,,44044811,44494502,44938712,45376763,45808747,46234830
Armenia,,2851923,2836557,2820602,2805608,2790974,2780469
American Samoa,,49463,48424,47321,46189,45035,44273
Antigua and Barbuda,,91119,91626,92117,92664,93219,93763
Australia,,24592588,24963258,25334826,25649248,25685412,26005540
Austria,,8797566,8840521,8879920,8916864,8955797,9041851
Azerbaijan,,9854033,9939771,10024283,10093121,10137750,10141756
Burundi,,11155593,11493472,11874838,12220227,12551213,12889576
Belgium,,11375158,11427054,11488980,11538604,11586195,11685814
Benin,,11596779,11940683,12290444,12643123,12996895,13352864
Burkina Faso,,19835858,20392723,20951639,21522626,22100683,22673762
Bangladesh,,161793964,163683958,165516222,167420951,169356251,171186372
Bulgaria,,7075947,7025037,6975761,6934015,6877743,6465097
Bahrain,,1456834,1487340,1494188,1477469,1463265,1472233
"Bahamas, The",,399020,401906,404557,406471,407906,409984
Bosnia and Herzegovina,,3440027,3400129,3360711,3318407,3270943,3233526
Belarus,,9458989,9438785,9419758,9379952,9302585,9228071
Belize,,374693,382066,389095,394921,400031,405272
Bermuda,,63873,63918,63911,63893,63764,63532
Bolivia,,11435533,11606905,11777315,11936162,12079472,12224110
Brazil,,208504960,210166592,211782878,213196304,214326223,215313498
Barbados,,279187,279688,280180,280693,281200,281635
Brunei Darussalam,,430276,434274,438048,441725,445373,449002
Bhutan,,756121,762096,767459,772506,777486,782455
Botswana,,2401840,2451409,2499702,2546402,2588423,2630296
Central African Republic,,4996741,5094780,5209324,5343020,5457154,5579144
Canada,,36545236,37065084,37601230,38007166,38226498,38929902
Central Europe and the Baltics,,102740078,102538451,102398537,102180124,101413176,100108221
Switzerland,,8451840,8514329,8575280,8638167,8704546,8775760
Channel Islands,,165215,167259,169410,171113,172683,174079
Chile,,18368577,18701450,19039485,19300315,19493184,19603733
China,,1396215000,1402760000,1407745000,1411100000,1412360000,1412175000
Cote d'Ivoire,,24848016,25493988,26147551,26811790,27478249,28160542
Cameroon,,24393181,25076747,25782341,26491087,27198628,27914536
"Congo, Dem. Rep.",,84283273,87087355,89906890,92853164,95894118,99010212
"Congo, Rep.",,5312340,5441062,5570733,5702174,5835806,5970424
Colombia,,48351671,49276961,50187406,50930662,51516562,51874024
Comoros,,761664,776313,790986,806166,821625,836774
Cabo Verde,,564954,571202,577030,582640,587925,593149
Costa Rica,,4993842,5040734,5084532,5123105,5153957,5180829
Caribbean small states,,7303634,7374650,7424102,7444768,7481877,7505478
Cuba,,11336405,11328244,11316697,11300698,11256372,11212191
Curacao,,160175,159336,157441,154947,152369,149996
Cayman Islands,,63581,64884,66134,67311,68136,68706
Cyprus,,1208523,1218831,1228836,1237537,1244188,1251488
Czechia,,10594438,10629928,10671870,10697858,10505772,10672118
Germany,,82657002,82905782,83092962,83160871,83196078,83797985
Djibouti,,1040233,1057198,1073994,1090156,1105557,1120849
Dominica,,70403,70823,71428,71995,72412,72737
Denmark,,5764980,5793636,5814422,5831404,5856733,5903037
Dominican Republic,,10647244,10765531,10881882,10999664,11117873,11228821
Algeria,,41136546,41927007,42705368,43451666,44177969,44903225
East Asia & Pacific (excluding high income),,2080919319,2094524854,2106391925,2116378687,2123628421,2129112126
Early-demographic dividend,,3250752755,3292896609,3334561751,3374383528,3411268373,3447398652
East Asia & Pacific,,2327132966,2341383691,2353856866,2363934334,2370189840,2375162207
Europe & Central Asia (excluding high income),,394705361,396674671,398690076,400061023,401682855,397824705
Europe & Central Asia,,914078289,917380453,920277481,922353365,923564027,920375568
Ecuador,,16696944,17015672,17343740,17588595,17797737,18001000
"Egypt, Arab Rep.",,101789386,103740765,105618671,107465134,109262178,110990103
Euro area,,345370612,346153001,346517987,346961127,346942979,348331511
Eritrea,,3396933,3445374,3498818,3555868,3620312,3684032
Spain,,46593236,46797754,47134837,47365655,47415794,47778340
Estonia,,1317384,1321977,1326898,1329522,1330932,1348840
Ethiopia,,108197950,111129438,114120594,117190911,120283026,123379924
European Union,,446215182,447001100,447367191,447692315,447178112,447370510
Fragile and conflict affected situations,,916427867,936721531,957785553,979763631,1001844479,1019139254
Finland,,5508214,5515525,5521606,5529543,5541017,5556106
Fiji,,919019,918996,918465,920422,924610,929766
France,,66918020,67158348,67388001,67571107,67764304,67971311
Faroe Islands,,50230,50955,51681,52415,52889,53090
"Micronesia, Fed. Sts.",,110430,110929,111379,112106,113131,114164
Gabon,,2140215,2192012,2242785,2292573,2341179,2388992
United Kingdom,,66058859,66460344,66836327,67081234,67026292,66971395
Georgia,,3728004,3726549,3720161,3722716,3708610,3712502
Ghana,,30222262,30870641,31522290,32180401,32833031,33475870
Gibraltar,,32602,32648,32685,32709,32669,32649
Guinea,,12240789,12554864,12877539,13205153,13531906,13859341
"Gambia, The",,2381182,2444916,2508883,2573995,2639916,2705992
Guinea-Bissau,,1879826,1924955,1970457,2015828,2060721,2105566
Equatorial Guinea,,1450694,1502091,1553031,1596049,1634466,1674908
Greece,,10754679,10732882,10721582,10698599,10569207,10426919
Grenada,,120921,121838,122724,123663,124610,125438
Greenland,,56172,56023,56225,56367,56653,56661
Guatemala,,16087418,16346950,16604026,16858333,17109746,17357886
Indonesia,,264498852,267066843,269582878,271857970,273753191,275501339
IDA only,,1098416162,1123983941,1150416080,1177588680,1205099007,1232406982
Isle of Man,,83580,83775,83933,84046,84263,84519
India,,1354195680,1369003306,1383112050,1396387127,1407563842,1417173173
Ireland,,4807388,4867316,4934340,4985382,5033164,5127170
"Iran, Islamic Rep.",,84505076,85617562,86564202,87290193,87923432,88550570
Iraq,,39621162,40590700,41563520,42556984,43533592,44496122
Iceland,,343400,352721,360563,366463,372520,382003
Israel,,8713300,8882800,9054000,9215100,9371400,9557500
Italy,,60536709,60421760,59729081,59438851,59133173,58940425
